Session,Method,Missing_Fraction,Replicate,Time,RMSE,R2,PLV,EnvCorr,SpCoh,DTW
session_1,Penalized Spline,0.1,4,0.0018651485443115234,1.760934135989415,-63.97030532601191,0.8885232859516036,-0.008655302759096041,0.011435938445814435,1.4014785169125248
session_1,GPR,0.15,0,1.407900094985962,0.21687750752039556,-0.22113315379306964,0.9845882464576039,0.012754261193625095,0.007794914600765457,0.19396531025746389
session_1,Cubic Spline,0.15,0,0.002335071563720703,0.36466948385450637,-2.452493267268876,0.9781604629699603,0.02516147234394437,0.008991421015755962,0.21248514415462394
session_1,Penalized Spline,0.15,0,0.0015740394592285156,2.6782480696580073,-185.22397680813458,0.9220221739847371,-0.031166061188172507,0.024772289063695465,2.3742239510978687
session_1,GPR,0.15,1,1.3378770351409912,0.6631532454061788,-0.07235934884318596,0.7654786030186148,-0.04212423951749543,0.00862812300877233,0.5710789105742128
session_1,Cubic Spline,0.15,1,0.002185821533203125,5.857295824530398,-82.65788121825463,0.7129580532566107,-0.03481526452853907,0.010600393158139994,5.235329750864408
session_1,Penalized Spline,0.15,1,0.001711130142211914,2.5098841991785728,-14.361014977431585,0.3232268486045144,-0.007147049749468146,0.012873669160330968,1.3389055304687671
session_1,GPR,0.15,2,2.1195850372314453,0.43211883778507515,-0.04747809720989693,0.9149235995496323,0.0418904040404187,0.013311447300180818,0.3871475136328194
session_1,Cubic Spline,0.15,2,0.0026879310607910156,5.481741146129776,-167.5681806684175,0.859664981354673,0.02579995693815368,0.020483017828161403,5.075814051152622
session_1,Penalized Spline,0.15,2,0.0015399456024169922,8.636866948579451,-417.45716704596003,0.3307008792658741,-0.059111957346833804,0.013350510911699047,6.5509767043369
session_1,GPR,0.15,3,2.2684051990509033,0.343547336947929,-0.17464938787087503,0.9548740617883114,0.11310486905075914,0.027090946804145317,0.20513106525329078
session_1,Cubic Spline,0.15,3,0.0023288726806640625,1.3435017692366003,-16.96435254102966,0.1516213783268881,0.011201572192206093,0.015129423952236768,0.8361485006910042
session_1,Penalized Spline,0.15,3,0.0018661022186279297,3.7836497132891864,-141.48099192617588,0.5600444370071069,0.01635762799365486,0.009304892235613533,2.80748807799753
session_1,GPR,0.15,4,1.700660228729248,0.2481237358889015,-0.1862434376302109,0.9787406877556428,-0.016669789586313283,0.010246630192941327,0.23060096842362476
session_1,Cubic Spline,0.15,4,0.002468109130859375,0.3910866156640808,-1.9470201557038105,0.9443972964979506,-0.010378175659552659,0.003570506652644861,0.22343164323065862
session_1,Penalized Spline,0.15,4,0.002125263214111328,18.7713120395773,-6788.322804860954,0.7888885781770452,0.05017020474670291,0.009866314615335022,17.08667697701951
session_1,GPR,0.2,0,1.5936498641967773,0.31400173927741,-1.3427670174899458,0.9609431265598236,0.016790294613298784,0.006962548068741464,0.15637317664647524
session_1,Cubic Spline,0.2,0,0.0033359527587890625,0.9122256645426631,-18.772863437880197,0.4188222407502901,-0.006971548975484805,0.010655253301867779,0.5261074391163556
session_1,Penalized Spline,0.2,0,0.0016031265258789062,2.3436764020759995,-129.5149581187789,0.2658398522278241,0.035829732408138075,0.0064996936888450626,1.668227224290133
session_1,GPR,0.2,1,1.2783799171447754,0.6565012085133732,-0.08984505026018574,0.77750123504635,-0.12636903596640145,0.010320919498188273,0.5436017682910639
session_1,Cubic Spline,0.2,1,0.0022079944610595703,2.6028957739462744,-16.13196793561028,0.223565451788234,-0.09706969928415982,0.005604456458093806,1.833389902457202
session_1,Penalized Spline,0.2,1,0.0017440319061279297,12.883236367987308,-418.70451965060624,0.4974602940636993,-0.12706344883423892,0.0045678053361433765,9.98909153322112
session_1,GPR,0.2,2,1.2946650981903076,0.4225926998763936,-0.004462911160456828,0.9130351689827101,0.0873955424690256,0.004820039272486742,0.36249958186279957
