Session,Method,Missing_Fraction,Replicate,N_Missing,RMSE,R2,PLV,Time,Status
session_2,Penalized Spline,0.1,1,850,3.993434733493154,-77.0871186226676,0.8874139713679319,0.0010540485382080078,Success
session_2,GPR,0.1,2,850,0.2564937227584515,-0.020939530437914744,0.998356429016987,1.2992727756500244,Success
session_2,Cubic Spline,0.1,2,850,0.2969199162691606,-0.36812316609381535,0.9978699957561147,0.0017199516296386719,Success
session_2,Penalized Spline,0.1,2,850,8.289362052556676,-1065.3229469643643,0.7414700899529609,0.001068115234375,Success
session_2,GPR,0.1,3,850,0.1747958843944998,-0.04878645215509714,0.9992760365463526,1.6326889991760254,Success
session_2,Cubic Spline,0.1,3,850,0.3620611265117441,-3.499750766441533,0.9975089643034033,0.0018949508666992188,Success
session_2,Penalized Spline,0.1,3,850,5.120816627492377,-899.1255963388217,0.8883543250288338,0.0011267662048339844,Success
session_2,GPR,0.1,4,850,0.11687380982844624,-0.003740895179754844,0.9996792785420033,1.3248000144958496,Success
session_2,Cubic Spline,0.1,4,850,0.27425918149740847,-4.527255841724243,0.9982036150646596,0.0017611980438232422,Success
session_2,Penalized Spline,0.1,4,850,0.8924160935752941,-57.52238319395652,0.9895166392215001,0.0010497570037841797,Success
session_2,GPR,0.15,0,1276,0.10319770107030446,-0.0025183820473360097,0.9996266584063158,1.4526238441467285,Success
session_2,Cubic Spline,0.15,0,1276,0.37422844986382336,-12.183353594674157,0.9945262044988324,0.0016450881958007812,Success
session_2,Penalized Spline,0.15,0,1276,4.906388142417091,-2265.0845166978843,0.8699054206731401,0.0010409355163574219,Success
session_2,GPR,0.15,1,1276,0.4130346232255782,-0.011215919507014505,0.9930542625829271,1.5387699604034424,Success
session_2,Cubic Spline,0.15,1,1276,5.157876767165339,-156.69317753796037,0.8527771339785047,0.0016808509826660156,Success
session_2,Penalized Spline,0.15,1,1276,20.868451824069147,-2580.377041369503,0.6028252075865155,0.0011570453643798828,Success
session_2,GPR,0.15,2,1276,0.24804675697612324,-0.0016516275823985627,0.9977381617070956,0.9387378692626953,Success
session_2,Cubic Spline,0.15,2,1276,0.6902218511077738,-6.755807165785047,0.9853822099512254,0.0016529560089111328,Success
session_2,Penalized Spline,0.15,2,1276,11.649890477589581,-2208.496303878278,0.7276481396731234,0.001070261001586914,Success
session_2,GPR,0.15,3,1276,0.17796146308512517,-0.005990858266761823,0.9988554346402746,1.0065600872039795,Success
session_2,Cubic Spline,0.15,3,1276,2.0527553667670446,-132.849419336539,0.948220382410336,0.0016922950744628906,Success
session_2,Penalized Spline,0.15,3,1276,3.3297911791068824,-351.1892502328609,0.7895610582631808,0.0010738372802734375,Success
session_2,GPR,0.15,4,1276,0.12809431012145303,-0.11044234043815737,0.9994235141391907,1.2919061183929443,Success
session_2,Cubic Spline,0.15,4,1276,0.4186137037920256,-10.859413653036038,0.9933190987055331,0.0017232894897460938,Success
session_2,Penalized Spline,0.15,4,1276,3.9763443186106744,-1069.0505683820097,0.7688823293751246,0.0010519027709960938,Success
session_2,GPR,0.2,0,1701,0.23052699475469596,-3.4744357748580548,0.9975267684304957,1.6571290493011475,Success
session_2,Cubic Spline,0.2,0,1701,0.612503407355797,-30.58724285144031,0.9898591231888434,0.0016031265258789062,Success
session_2,Penalized Spline,0.2,0,1701,4.5556588487239145,-1746.4191472828704,0.8229465537599512,0.0010309219360351562,Success
session_2,GPR,0.2,1,1701,0.4468596705601055,-0.11080303626371135,0.9886879265538302,2.1113898754119873,Success
session_2,Cubic Spline,0.2,1,1701,2.9407396789859477,-47.10695839255263,0.8985914685112828,0.0016970634460449219,Success
session_2,Penalized Spline,0.2,1,1701,12.679392612673267,-893.3173078517211,0.6799358103013992,0.0010340213775634766,Success
session_2,GPR,0.2,2,1701,0.2712999416772836,-0.1608988939590179,0.9964025115798728,1.0660820007324219,Success
session_2,Cubic Spline,0.2,2,1701,6.66674766256856,-700.0080920834338,0.7907989937660481,0.0015690326690673828,Success
session_2,Penalized Spline,0.2,2,1701,4.858485875542946,-371.3032999257601,0.8171770031853546,0.0010590553283691406,Success
session_2,GPR,0.2,3,1701,0.19114325900844406,-0.06854716052362542,0.9982589111107664,1.4364571571350098,Success
session_2,Cubic Spline,0.2,3,1701,2.8206121059926557,-231.68182031852368,0.9082836413089571,0.0017039775848388672,Success
session_2,Penalized Spline,0.2,3,1701,8.796649480418552,-2262.1341373620244,0.7388450448792008,0.0010838508605957031,Success
session_2,GPR,0.2,4,1701,0.13002332025626023,-0.07751367727816083,0.9992168624893885,1.139124870300293,Success
session_2,Cubic Spline,0.2,4,1701,0.6484590657127084,-25.80065573875473,0.9887657060164005,0.0016138553619384766,Success
session_2,Penalized Spline,0.2,4,1701,3.9544949048716127,-995.695111800327,0.8713564100704758,0.001020193099975586,Success
session_3,GPR,0.05,0,325,0.17470460783118344,-0.8134027763328895,0.9998131329849655,0.930243730545044,Success
session_3,Cubic Spline,0.05,0,325,0.21295076664657814,-1.6942877272420902,0.9997208258129207,0.0015411376953125,Success
session_3,Penalized Spline,0.05,0,325,2.1961323619172886,-285.55143020836033,0.9446116933696567,0.0010068416595458984,Success
session_3,GPR,0.05,1,325,0.5147723420805111,-0.00035058992714942505,0.9984038112703535,42.39527201652527,Success
session_3,Cubic Spline,0.05,1,325,1.4197491792865995,-6.609306460431218,0.9914792467389835,0.0014972686767578125,Success
session_3,Penalized Spline,0.05,1,325,1.3592782185567542,-5.974908877387527,0.9792239864211228,0.001007080078125,Success
session_3,GPR,0.05,2,325,0.3488889854476203,-0.18389295284180607,0.9992715335650574,1.0174589157104492,Success
session_3,Cubic Spline,0.05,2,325,0.571500148277895,-2.176659108271389,0.9983343207588159,0.0014679431915283203,Success
session_3,Penalized Spline,0.05,2,325,4.362032537029773,-184.06134711514787,0.9639968563250472,0.0009720325469970703,Success
session_3,GPR,0.05,3,325,0.2616474411602299,-0.1489931199581136,0.9995843712885614,1.0615103244781494,Success
session_3,Cubic Spline,0.05,3,325,0.6052142208488043,-5.147558822115796,0.998156581030422,0.0016200542449951172,Success
session_3,Penalized Spline,0.05,3,325,1.5435415942779473,-38.987211397143085,0.9611368579411497,0.0010919570922851562,Success
session_3,GPR,0.05,4,325,0.18111046785428497,-0.2983527585894883,0.9997992065177013,1.1916322708129883,Success
session_3,Cubic Spline,0.05,4,325,0.16945865466297752,-0.13666662538548557,0.9998264254443471,0.0015439987182617188,Success
session_3,Penalized Spline,0.05,4,325,1.5779937666128077,-97.56351130285078,0.9574170955274631,0.001013040542602539,Success
session_3,GPR,0.1,0,651,0.16747158823224195,-0.46612488261122875,0.9996645618117701,1.5828380584716797,Success
session_3,Cubic Spline,0.1,0,651,0.26444059522021507,-2.6554844310419723,0.9991117300484325,0.0014309883117675781,Success
session_3,Penalized Spline,0.1,0,651,4.328545515805216,-978.4283341678981,0.933776111369921,0.0009632110595703125,Success
session_3,GPR,0.1,1,651,0.49332535172807834,-0.051379283542930976,0.9970848706059969,0.9485130310058594,Success
session_3,Cubic Spline,0.1,1,651,3.8689265768390455,-63.665631459564466,0.9381164253333616,0.0015180110931396484,Success
session_3,Penalized Spline,0.1,1,651,6.23496354585369,-166.94241121755164,0.87331208509113,0.0010001659393310547,Success
session_3,GPR,0.1,2,651,0.3606964581916225,-0.17436006006569937,0.9984558662765678,1.8064210414886475,Success
session_3,Cubic Spline,0.1,2,651,0.46791325442289927,-0.9762787993971496,0.9973577260875852,0.001583099365234375,Success
session_3,Penalized Spline,0.1,2,651,5.888843461527552,-312.02392786800976,0.9051039449899638,0.0010409355163574219,Success
session_3,GPR,0.1,3,651,0.264886370065347,-0.1625836352101302,0.9991588775036855,1.0523910522460938,Success
session_3,Cubic Spline,0.1,3,651,1.0134036385300897,-16.01648675854826,0.9804282691475011,0.0014688968658447266,Success
session_3,Penalized Spline,0.1,3,651,6.283203838277461,-653.134838916738,0.9074365008170648,0.0009980201721191406,Success
session_3,GPR,0.1,4,651,0.189447941746428,-0.3078199718413974,0.9995700607983756,1.9209849834442139,Success
session_3,Cubic Spline,0.1,4,651,0.737281120116642,-18.807716361997183,0.9953007179542357,0.0015227794647216797,Success
session_3,Penalized Spline,0.1,4,651,1.166821886005131,-48.610924003344465,0.9854281231831115,0.0009889602661132812,Success
session_3,GPR,0.15,0,976,0.15087275075378936,-0.07142022108674517,0.9995858247485158,1.3361179828643799,Success
session_3,Cubic Spline,0.15,0,976,0.7900599819582781,-28.380443720222303,0.9852458964025327,0.0013802051544189453,Success
session_3,Penalized Spline,0.15,0,976,9.554583843922638,-4295.9645730625725,0.8002676345203855,0.0009679794311523438,Success
session_3,GPR,0.15,1,976,0.4961631234861457,-0.01497070231518327,0.9955956100318432,1.213960886001587,Success
session_3,Cubic Spline,0.15,1,976,1.5942464793837814,-9.47889463741432,0.9022645120864082,0.0014209747314453125,Success
session_3,Penalized Spline,0.15,1,976,15.687131967652455,-1013.5924835304911,0.7031966251652065,0.0009779930114746094,Success
session_3,GPR,0.15,2,976,0.3499083616023183,-0.16263577482269032,0.9977877944543261,1.5577900409698486,Success
session_3,Cubic Spline,0.15,2,976,1.685383224719509,-25.97319391254613,0.8627582333786495,0.0014688968658447266,Success
session_3,Penalized Spline,0.15,2,976,17.881820396968894,-3035.396610039743,0.6825468788538064,0.0009520053863525391,Success
session_3,GPR,0.15,3,976,0.25683666828098334,-0.0717285670734027,0.9988185673135794,41.52074074745178,Success
session_3,Cubic Spline,0.15,3,976,1.2120864187064302,-22.8692032189389,0.9845976179354626,0.001477956771850586,Success
session_3,Penalized Spline,0.15,3,976,8.146893532612133,-1077.3378106580053,0.731125225193993,0.0009360313415527344,Success
session_3,GPR,0.15,4,976,0.1831089237176115,-0.12899824507877566,0.999389922566803,1.2009730339050293,Success
session_3,Cubic Spline,0.15,4,976,1.0482464664126065,-35.99994352473438,0.9659607229989691,0.0013539791107177734,Success
session_3,Penalized Spline,0.15,4,976,2.356684869275616,-186.01535844749,0.8512626760620556,0.000885009765625,Success
session_3,GPR,0.2,0,1302,0.21390192463292373,-0.9472332185071708,0.9989327871730196,1.5012948513031006,Success
session_3,Cubic Spline,0.2,0,1302,0.3040420648961378,-2.934195451653081,0.9975162577548996,0.0012900829315185547,Success
session_3,Penalized Spline,0.2,0,1302,3.0129834920157497,-385.3510435393178,0.9296673445128794,0.0009090900421142578,Success
session_3,GPR,0.2,1,1302,0.4664596018474808,-0.02222009296571259,0.9948210625006038,1.1993348598480225,Success
session_3,Cubic Spline,0.2,1,1302,6.470479470216497,-195.69316379671628,0.8319210149957739,0.0013339519500732422,Success
session_3,Penalized Spline,0.2,1,1302,9.465090719515793,-419.88737670668024,0.7726885380310815,0.0009362697601318359,Success
session_3,GPR,0.2,2,1302,0.3482074832219955,-0.09673203339757852,0.997112293328212,1.2167119979858398,Success
session_3,Cubic Spline,0.2,2,1302,2.7976807306004394,-69.79794165286408,0.7558271963781447,0.0012707710266113281,Success
session_3,Penalized Spline,0.2,2,1302,6.868859967763284,-425.7697747011033,0.735172032440469,0.0008897781372070312,Success
session_3,GPR,0.2,3,1302,0.2582961519003501,-0.029098418757771194,0.9984003036842165,1.0838229656219482,Success
session_3,Cubic Spline,0.2,3,1302,1.6332595269821364,-40.14636165744068,0.9609375689652322,0.0012879371643066406,Success
session_3,Penalized Spline,0.2,3,1302,2.9800232596020506,-135.9810044192674,0.9314646293783274,0.0009121894836425781,Success
session_3,GPR,0.2,4,1302,0.2484669833900768,-0.9184844529175258,0.9985508479047098,1.770475149154663,Success
session_3,Cubic Spline,0.2,4,1302,2.1032484158606093,-136.46813808195205,0.9569115828423653,0.0013318061828613281,Success
session_3,Penalized Spline,0.2,4,1302,11.393921614718543,-4033.2923271392906,0.7393847650639142,0.0008959770202636719,Success
