Gap_Fraction,Method,Replicate,RMSE,R2,PLV,EnvCorr,SpCoh,DTW,Time
0.15,Mean Reversion,0,1.3758491106697677,-0.5115845487083566,0.10573501067519382,-0.00770776398448601,,1.1669383991682571,
0.15,GPR,1,0.8034703883041273,0.01585641106554958,0.642017629598804,-0.08257744676360732,0.030971658269875333,0.6658332643987283,
0.15,Constrained Opt.,1,0.9325980841709802,-0.3258907915814313,0.6407339750228235,-0.09150053365740976,0.07941324677533991,0.6565567817481767,0.34047508239746094
0.15,Takens Embedding,1,0.2675405743962696,0.8908815905825792,0.9347330326570089,0.908964602779772,0.2722829500037796,0.1244771640866197,0.6032900810241699
0.15,Mean Reversion,1,0.8162654229307216,-0.01573757092776429,0.6391549271798946,-0.019733935125388628,0.013914545250941459,0.6897572485169106,
0.15,GPR,2,0.40535539062993853,-3.9956651732255537,0.9050256607683486,-0.016708896777076297,0.00940729933917001,0.22609893790525956,
0.15,Constrained Opt.,2,0.1964164519150063,-0.1729436280025216,0.9856579099928577,-0.05942340351489513,0.0063822583086626935,0.16045408847386222,0.3053269386291504
0.15,Takens Embedding,2,0.052806111267855026,0.9152207071086488,0.9988346260856411,0.9537558395028248,0.3465721010780221,0.016246004708943284,0.5741057395935059
0.15,Mean Reversion,2,0.2689387851711805,-1.1990155204786812,0.9870686681274813,-0.013538996014422058,0.006580535740175041,0.23514369656726267,
0.2,GPR,0,1.147762849498931,-0.035946177580092664,0.21523962286882678,0.06046920139010798,0.01494554856309635,0.951645353083135,
0.2,Constrained Opt.,0,1.5403848261140272,-0.8659127359009295,0.1936606597035333,-0.049014465548982936,0.0036764171760119303,1.2218197364415664,0.29284000396728516
0.2,Takens Embedding,0,0.5862418617897943,0.7297370461683984,0.8259244055815386,0.7814174926180324,0.4138812176371827,0.26035165972076246,0.8008177280426025
0.2,Mean Reversion,0,1.2998312692849006,-0.32863847885397224,0.20146483088974915,-0.034042250147340775,0.00474894478446683,1.0849455369339556,
0.2,GPR,1,0.7909620149181955,-0.03944152384381816,0.7224671830457527,0.1401084305342827,0.04336326010056232,0.5070155241208151,
0.2,Constrained Opt.,1,1.0199812318570127,-0.728515062447119,0.5169959157380023,-0.11364928959219965,0.0173690963488574,0.6593711921282673,0.3027689456939697
0.2,Takens Embedding,1,0.2878808170737452,0.862306239653783,0.9340405894180062,0.8890950596344197,0.24432961003766934,0.12189527817831194,0.8984770774841309
0.2,Mean Reversion,1,0.7847435126412652,-0.023161701421601233,0.6701839882039625,0.002418680488881298,,0.6617046669993567,
0.2,GPR,2,0.19232615494813393,-0.02099395024275763,0.9856084087602576,0.012077786727132406,0.013401940064375225,0.17366162065717658,
0.2,Constrained Opt.,2,0.23132497897615215,-0.47703753955159334,0.9793980556409656,0.019921532408076054,0.003027634397511431,0.16479647584090726,0.32646799087524414
