session,samples,missing_frac,method,rmse,mae,r2,plv,time_s
session_2026-01-23_13-09-28_1.json,8781,0.1,penalized_spline,0.2052718455515258,0.033901013156442984,0.9220103055759246,0.9864359293579255,0.0011360645294189453
session_2026-01-23_13-09-28_1.json,8781,0.15,cubic_spline,0.35022333873926464,0.06954144635965598,0.7729776512134303,0.9847322604433093,0.0016040802001953125
session_2026-01-23_13-09-28_1.json,8781,0.15,gpr,0.19105423345812533,0.03916479777940972,0.9324396679231629,0.9882306268223893,7.035416126251221
session_2026-01-23_13-09-28_1.json,8781,0.15,penalized_spline,0.2618100846646041,0.0551561917919036,0.8731322648103432,0.9864359293579255,0.001146078109741211
session_2026-01-23_13-09-28_1.json,8781,0.2,cubic_spline,0.4659533669344225,0.11124411522669224,0.5981505731249619,0.9206273655153376,0.0017609596252441406
session_2026-01-23_13-09-28_1.json,8781,0.2,gpr,0.2733465377770793,0.06607375237751562,0.8617052798924741,0.9391247579740144,7.089050054550171
session_2026-01-23_13-09-28_1.json,8781,0.2,penalized_spline,0.44053754140603224,0.09915784150010559,0.6407934128431942,0.9445127104715833,0.0010781288146972656
session_2026-01-23_13-28-12_6.json,6590,0.05,cubic_spline,0.18953949247246238,0.026066132982379843,0.8784811095790341,0.9899414703885714,0.0013089179992675781
session_2026-01-23_13-28-12_6.json,6590,0.05,gpr,0.14493371742316233,0.020923711105346503,0.9289468670856005,0.990051125361452,7.7611048221588135
session_2026-01-23_13-28-12_6.json,6590,0.05,penalized_spline,0.2057164714166223,0.027630692482937008,0.8568529173742552,0.9872045514554288,0.001088857650756836
session_2026-01-23_13-28-12_6.json,6590,0.1,cubic_spline,0.1703982368450478,0.034170067707385045,0.9017857370138785,0.9895569484710278,0.0015399456024169922
session_2026-01-23_13-28-12_6.json,6590,0.1,gpr,0.15157484648377517,0.0295265023849936,0.9222861110009901,0.9899250777990839,6.923430919647217
session_2026-01-23_13-28-12_6.json,6590,0.1,penalized_spline,0.21735952137169628,0.039890501016743574,0.8401908260054662,0.9872045514554288,0.001024007797241211
session_2026-01-23_13-28-12_6.json,6590,0.15,cubic_spline,0.27716045402439105,0.06380905542112501,0.7401594679772316,0.9649072528468802,0.0014448165893554688
session_2026-01-23_13-28-12_6.json,6590,0.15,gpr,0.19905556751083459,0.04801282541165213,0.8659727746412904,0.9732458701122316,5.376760005950928
session_2026-01-23_13-28-12_6.json,6590,0.15,penalized_spline,1.3092199138588558,0.15868435193119143,-4.797884688504591,0.7691545380280269,0.0011370182037353516
session_2026-01-23_13-28-12_6.json,6590,0.2,cubic_spline,0.27358700401814523,0.07485595242902295,0.7468165603087595,0.9504073226180584,0.0015451908111572266
session_2026-01-23_13-28-12_6.json,6590,0.2,gpr,0.22314112260264155,0.06460490854969762,0.8315761479773127,0.9716070195646869,7.568420171737671
session_2026-01-23_13-28-12_6.json,6590,0.2,penalized_spline,1.3138055497387107,0.17843209812390756,-4.83857082409022,0.7691545380280269,0.0011019706726074219
